amount,user_fee,coin,target,date,transaction_id
0.27770876,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-03 00:05:00,2a05ff9d03a801b9508e666f9d3aa9a737f314c65d3734944a78974a4eae70f5
0.02347477,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-06 09:05:07,0b5f2b14306b80b6dd50d8330f8a7a5a7fedd76483f43c62e47b131a67f569c7
0.02921064,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-13 09:05:05,ca2d39de0a6e58a08bccbdaf1b1e105e177ed4aaece943791806c3258822a2c0
0.06826046,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-20 02:05:01,7114b31deaf15dc83a965d83d6bd0ee134193863379835cf0f184d3011c38996
0.00692057,0.00010000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-21 20:05:00,1c12ad59faf00cd1684cb085ff092db2ac98f9e4731cca2ed41a667412a429f9
0.02232600,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-06-27 09:05:05,f835402e7e838501bd0cfdeca6ffb3671b61b1e998bdc9d3144f3ce958538567
0.02446580,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-04 09:05:04,85a915ebb17f16402439eea6d541d1cacc9a9a91afef04771af1225932072fd3
0.02841539,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-08 02:05:00,e84499b931a3604c1247d922862e33cacbbabda4dcb8f6ac0a5c8e09cb44a2df
0.01309168,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-09 22:05:00,7877b18983ba72f07b3f6da173783faf32f84ee295a598043a42b47ef6311c52
0.01032274,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-11 09:05:04,98d0e320e55670bd2f9812cdef3517026a2f148ae8346ae814b530d31029ad5c
0.00881003,0.00010000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-12 15:05:01,7d4666f5b7d536a1fb76405cf996c21ba99b4e7231be92c1549ce1dca0e79069
0.02389728,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-18 09:05:06,a9091c3ac96fda3a542bcc0b9ca29ff986d6878e7180ae9888eb323223472723
0.03523080,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-07-25 09:05:04,d40a75150cd62a940c860bd74d3216b3ff37b081bad1495b3f7d54ce1334985c
0.04599831,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-01 09:05:06,cc2ccfaeeef9b6558875b4657c4f7461254994ec19ea84814e214ad7db3ccbbd
0.02140560,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-04 13:05:01,85c706e360d087b38c6195b9a0396abd628f6a0e5082645b2737d8d15418b42a
0.02528365,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-08 09:05:06,1ea540a727140c1b4b01759167f120bbdaaa195cb3cc164002bcbc415411b5ed
0.03783698,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-15 09:05:07,6434c9721306a718f61e119b7c37b5f2baf79f2fe84613865a2860dd68160a57
0.02343001,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-18 18:05:01,0e401081a298049ffce799bdbbcfc8df90a2ac2fb91f3ab95341632e8f5a1e28
0.02187768,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-22 09:05:05,fb116491148cd0cd907137da7c1a4582652517c933367f2b302b485cae755365
0.05095083,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-08-29 09:05:06,5246660f5bca2b063e3884c9215fb6e138f7550be0356c164968d310b3de5693
0.03082819,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-09-05 09:05:06,f9afa77243c227afc8a9528712a1d16d897c2a68a46a4ee53ad982c04c56f30c
0.04204617,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-09-12 09:05:06,7e1f963b1aebfa1c0e848279672a7ef9274a074447a87dfee2a6e75a6f91a2a8
0.03136849,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-09-19 09:05:06,ebf9630fa2a706a3cceca5d62e0d3a28cbe16f773798d27a79654ccb5bb5d796
0.03329008,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-09-26 09:05:06,07474450bcdda5113d77e62445b6caa42aabbbb9317dbcf020a48a17138f1d1b
0.00638820,0.00010000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-09-27 09:05:01,72065d17294f4b72a8153a50c401c86dfcfd54d8f6a823eca2c73295287b46ad
0.01294169,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-10-02 02:05:01,1a9a3ce668f83fe83e712555aaa162557cd824796d8cc9d6b13bffcf7a31fb95
0.02685784,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-10-10 09:05:06,3ec689ce1968eba16979c4630d41ed101bb2fc52a80cb001c61b2fc2698e3953
0.01717763,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-10-16 20:05:02,68e216622d779f784fe46cf7ab77380191f5cb403c9d3a9441b2684e9b82283e
0.02195214,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-10-24 04:05:01,809f157df919c83a52361e93c56a1b6bf5a37e5fca7e7b5e085a233e76afc3e6
0.01040477,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-10-31 09:05:07,2cc56322bfd65326db99702e5586bcdb65ed8deb8dabb5dd2715d09a195c7ce1
0.01720582,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-11-07 09:05:08,5d8777d55538f6b96f1ea4f7d09d12034c1e2105fc4c8a643c0ca4252f7a6c8c
0.02404065,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-11-21 09:05:07,d5bfc39a6640d946af865b1a28d9d5b697a91e4b42aca90bd9ec334e4b2cfbf9
0.01663812,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-11-28 09:05:07,7f7d510831e9225101872fe31724e2afa2b6990f1919a43e68c63808c5fe32ea
0.01160031,0.00000000,BTC,bc1qa4vukzvrh90xse900xx8nydwu6sqhx97czug4n,2022-12-05 09:05:06,115a192e5ab24fb0764b8e9415f3253ed93126a641014cbe160b80e6f98ebfb6
